user_id,user_role,department,home_country,home_city,preferred_device,preferred_browser,operating_system,preferred_auth_method,preferred_login_hour,preferred_resource,device_fingerprint,
EMP0001,Engineer,Engineering,India,Pune,Laptop,Chrome,Windows,SSO,10,GitHub,EMP0001-bdd640fb,
EMP0002,IT Support,Security,India,Hyderabad,Laptop,Chrome,Windows,Password,10,Database,EMP0002-23b8c1e9,
EMP0003,IT Support,Security,India,Mumbai,Mobile,Firefox,macOS,SSO,8,Email,EMP0003-bd9c66b3,
EMP0004,Admin,IT,Singapore,Singapore,Laptop,Chrome,macOS,MFA,8,Database,EMP0004-972a8469,
EMP0005,HR,Human Resources,USA,Seattle,Laptop,Chrome,Linux,Password,10,Email,EMP0005-17fc695a,
EMP0006,IT Support,Security,Germany,Berlin,Mobile,Edge,macOS,Password,8,Email,EMP0006-9a1de644,
EMP0007,IT Support,Security,Germany,Munich,Mobile,Chrome,macOS,Password,10,VPN,EMP0007-b74d0fb1,
EMP0008,HR,Human Resources,Germany,Berlin,Laptop,Chrome,Linux,MFA,10,Email,EMP0008-6b65a6a4,
EMP0009,HR,Human Resources,Germany,Munich,Laptop,Firefox,Linux,SSO,9,ERP,EMP0009-47378190,
EMP0010,IT Support,Security,USA,Austin,Mobile,Chrome,Windows,MFA,9,Email,EMP0010-c241330b,
EMP0011,IT Support,Security,USA,Austin,Desktop,Chrome,Windows,Password,9,GitHub,EMP0011-6c307511,
EMP0012,Finance,Finance,India,Mumbai,Mobile,Firefox,Linux,Password,9,Email,EMP0012-371ecd7b,
EMP0013,Admin,IT,UK,London,Desktop,Chrome,Windows,SSO,9,Email,EMP0013-1a2a73ed,
EMP0014,Finance,Finance,Singapore,Singapore,Mobile,Edge,Linux,Password,9,ERP,EMP0014-5be6128e,
EMP0015,Engineer,Engineering,India,Bangalore,Laptop,Firefox,Windows,SSO,10,Database,EMP0015-43b7a3a6,
EMP0016,Engineer,Engineering,UK,Manchester,Mobile,Edge,macOS,MFA,8,Email,EMP0016-759cde66,
EMP0017,Engineer,Engineering,Singapore,Singapore,Mobile,Edge,Windows,MFA,8,Database,EMP0017-ec1b8ca1,
EMP0018,Admin,IT,India,Pune,Mobile,Chrome,macOS,Password,8,Email,EMP0018-4b0dbb41,
EMP0019,IT Support,Security,Singapore,Singapore,Laptop,Edge,Windows,SSO,10,VPN,EMP0019-e2acf72f,
EMP0020,Finance,Finance,UK,London,Laptop,Edge,Linux,Password,8,ERP,EMP0020-3139d32c,
EMP0021,IT Support,Security,India,Bangalore,Mobile,Edge,Windows,SSO,8,Database,EMP0021-a9488d99,
EMP0022,Admin,IT,Singapore,Singapore,Desktop,Firefox,macOS,MFA,9,VPN,EMP0022-fc377a4c,
EMP0023,HR,Human Resources,Germany,Munich,Mobile,Firefox,Linux,MFA,10,ERP,EMP0023-ddd1dfb2,
EMP0024,Engineer,Engineering,USA,New York,Laptop,Edge,Windows,SSO,8,Email,EMP0024-7412b293,
EMP0025,IT Support,Security,USA,New York,Laptop,Firefox,macOS,Password,8,Database,EMP0025-29a3b2e9,
EMP0026,Engineer,Engineering,Germany,Berlin,Mobile,Chrome,Linux,SSO,8,Database,EMP0026-ab9099a4,
EMP0027,IT Support,Security,USA,Austin,Mobile,Firefox,Linux,Password,9,Email,EMP0027-aefcfad8,
EMP0028,HR,Human Resources,India,Bangalore,Mobile,Edge,Linux,MFA,10,Email,EMP0028-a28defe3,
EMP0029,Engineer,Engineering,India,Bangalore,Desktop,Firefox,Linux,Password,8,Jira,EMP0029-3eabedcb,
EMP0030,HR,Human Resources,Singapore,Singapore,Laptop,Edge,Windows,MFA,9,Email,EMP0030-451b4cf3,
EMP0031,Engineer,Engineering,UK,London,Laptop,Firefox,macOS,Password,8,GitHub,EMP0031-b02b61c4,
EMP0032,HR,Human Resources,UK,Manchester,Desktop,Chrome,Linux,Password,10,HR Portal,EMP0032-5304317f,
EMP0033,Engineer,Engineering,UK,Manchester,Desktop,Edge,Linux,SSO,10,Email,EMP0033-0e51f30d,
EMP0034,Admin,IT,USA,New York,Desktop,Chrome,Windows,SSO,9,Email,EMP0034-ce177b4e,
EMP0035,Engineer,Engineering,Germany,Berlin,Laptop,Firefox,Linux,SSO,8,Email,EMP0035-10f1bc81,
EMP0036,Engineer,Engineering,Singapore,Singapore,Laptop,Chrome,macOS,Password,9,Jira,EMP0036-9132b63e,
EMP0037,Engineer,Engineering,Singapore,Singapore,Mobile,Firefox,Windows,SSO,9,GitHub,EMP0037-366eb16f,
EMP0038,IT Support,Security,Singapore,Singapore,Desktop,Chrome,macOS,SSO,8,GitHub,EMP0038-e27a984d,
EMP0039,Finance,Finance,UK,London,Mobile,Firefox,Linux,MFA,8,Database,EMP0039-24933b83,
EMP0040,Engineer,Engineering,UK,London,Laptop,Firefox,Windows,SSO,8,VPN,EMP0040-beb79919,
EMP0041,Finance,Finance,India,Mumbai,Desktop,Edge,Windows,MFA,9,Email,EMP0041-bf3c4c06,
EMP0042,IT Support,Security,Singapore,Singapore,Mobile,Firefox,Linux,SSO,8,VPN,EMP0042-956269f0,
EMP0043,Finance,Finance,India,Bangalore,Mobile,Firefox,Windows,MFA,8,Database,EMP0043-ff50bde4,
EMP0044,Finance,Finance,USA,Austin,Mobile,Edge,macOS,MFA,8,Database,EMP0044-7e570ddf,
EMP0045,Engineer,Engineering,UK,Manchester,Laptop,Chrome,Linux,Password,8,VPN,EMP0045-dc713d96,
EMP0046,Admin,IT,Singapore,Singapore,Mobile,Chrome,Windows,Password,7,Email,EMP0046-28f49481,
EMP0047,IT Support,Security,India,Pune,Mobile,Firefox,Windows,MFA,8,Database,EMP0047-98ae4334,
EMP0048,Finance,Finance,Germany,Berlin,Desktop,Chrome,macOS,Password,8,Email,EMP0048-988c24c9,
EMP0049,Finance,Finance,Singapore,Singapore,Mobile,Firefox,Windows,Password,8,ERP,EMP0049-405cacec,
EMP0050,Admin,IT,India,Mumbai,Mobile,Edge,Linux,SSO,7,Email,EMP0050-f143262f,
EMP0051,Finance,Finance,USA,Austin,Laptop,Edge,Windows,MFA,8,ERP,EMP0051-1d53434b,
EMP0052,Admin,IT,Germany,Munich,Laptop,Chrome,Windows,SSO,8,VPN,EMP0052-c0398710,
EMP0053,Finance,Finance,Germany,Berlin,Desktop,Edge,macOS,SSO,9,Database,EMP0053-5715bd6f,
EMP0054,Engineer,Engineering,India,Pune,Laptop,Firefox,Linux,Password,10,GitHub,EMP0054-287d06ca,
EMP0055,Admin,IT,Germany,Munich,Desktop,Firefox,macOS,Password,9,Database,EMP0055-b8db0672,
EMP0056,HR,Human Resources,Germany,Berlin,Mobile,Edge,Windows,SSO,9,ERP,EMP0056-f8cda88b,
EMP0057,Finance,Finance,UK,London,Mobile,Edge,macOS,MFA,8,Email,EMP0057-81f76d1c,
EMP0058,Finance,Finance,Singapore,Singapore,Mobile,Edge,Linux,MFA,9,Email,EMP0058-a013ac6e,
EMP0059,IT Support,Security,USA,New York,Desktop,Firefox,Linux,SSO,10,Database,EMP0059-81f631d4,
EMP0060,IT Support,Security,Germany,Munich,Mobile,Chrome,Linux,MFA,9,Database,EMP0060-5fb8d16c,
EMP0061,IT Support,Security,Singapore,Singapore,Desktop,Edge,Linux,SSO,10,Database,EMP0061-f4188f3f,
EMP0062,Admin,IT,USA,Austin,Laptop,Edge,macOS,SSO,9,Email,EMP0062-eb2263dd,
EMP0063,Finance,Finance,India,Mumbai,Mobile,Edge,Windows,Password,8,ERP,EMP0063-7d154385,
EMP0064,Engineer,Engineering,USA,Seattle,Mobile,Chrome,Linux,MFA,8,Email,EMP0064-5cec4eb5,
EMP0065,Admin,IT,UK,Manchester,Laptop,Chrome,macOS,SSO,7,VPN,EMP0065-ce88cb2d,
EMP0066,Admin,IT,USA,New York,Mobile,Firefox,Linux,Password,7,Email,EMP0066-3da9c2a9,
